group,group_display,start_date,egg_uid,well_id,outcome,delta_2c_4c,delta_4c_bean,delta_bean_move
shg_10mW_2s,400nm SHG 10mW 2s,2024-06-19,370,8,arrested,,,
shg_10mW_2s,400nm SHG 10mW 2s,2024-06-19,371,9,arrested,,,
shg_10mW_2s,400nm SHG 10mW 2s,2024-06-19,372,9,arrested,,,
shg_10mW_2s,400nm SHG 10mW 2s,2024-06-19,373,9,l3_reached,18.0,104.0,
shg_10mW_2s,400nm SHG 10mW 2s,2024-06-19,374,10,arrested,,,
shg_10mW_2s,400nm SHG 10mW 2s,2024-06-19,375,10,l3_reached,60.0,182.0,36.0
shg_10mW_2s,400nm SHG 10mW 2s,2024-06-19,376,10,arrested,,,
shg_10mW_2s,400nm SHG 10mW 2s,2024-06-19,377,11,arrested,,,
shg_10mW_2s,400nm SHG 10mW 2s,2024-06-19,378,11,l3_reached,16.0,128.0,32.0
shg_10mW_2s,400nm SHG 10mW 2s,2024-06-19,379,11,arrested,,,
shg_10mW_2s,400nm SHG 10mW 2s,2024-06-19,380,12,arrested,,,
shg_10mW_2s,400nm SHG 10mW 2s,2024-06-19,381,12,arrested,,,
shg_10mW_2s,400nm SHG 10mW 2s,2024-06-19,382,12,l3_reached,74.0,224.0,35.0
uvc_6W_2s,UVC 6W 2s,2025-06-10,795,1,l3_reached,21.0,118.0,18.0
uvc_6W_2s,UVC 6W 2s,2025-06-10,798,2,l3_reached,22.099999999999994,125.2,22.0
uvc_6W_2s,UVC 6W 2s,2025-06-10,801,3,l3_reached,13.100000000000001,135.4,15.0
uvc_6W_2s,UVC 6W 2s,2025-06-10,804,4,l3_reached,22.5,221.5,32.0
uvc_6W_2s,UVC 6W 2s,2025-06-10,807,5,l3_reached,20.799999999999997,149.2,20.0
uvc_6W_2s,UVC 6W 2s,2025-06-10,810,6,l3_reached,17.700000000000003,136.3,20.0
uvc_6W_2s,UVC 6W 2s,2025-06-10,813,7,l3_reached,15.200000000000003,128.5,21.0
uvc_6W_2s,UVC 6W 2s,2025-06-10,816,8,l3_reached,17.5,126.4,29.599999999999994
uvc_6W_2s,UVC 6W 2s,2025-06-10,822,10,l3_reached,13.399999999999999,114.2,16.5
uvc_6W_2s,UVC 6W 2s,2025-06-10,825,11,l3_reached,32.400000000000006,116.1,19.0
uvc_6W_2s,UVC 6W 2s,2025-06-10,828,12,l3_reached,17.9,124.7,15.0
uvc_6W_2s,UVC 6W 2s,2025-06-11,796,1,l3_reached,26.599999999999994,144.4,26.399999999999977
uvc_6W_2s,UVC 6W 2s,2025-06-11,799,2,l3_reached,15.700000000000003,117.6,20.400000000000006
uvc_6W_2s,UVC 6W 2s,2025-06-11,802,3,l3_reached,14.0,121.0,22.0
uvc_6W_2s,UVC 6W 2s,2025-06-11,805,4,l3_reached,23.200000000000003,128.5,20.0
uvc_6W_2s,UVC 6W 2s,2025-06-11,808,5,l3_reached,20.39999999999999,127.4,25.0
uvc_6W_2s,UVC 6W 2s,2025-06-11,811,6,l3_reached,18.0,142.8,20.0
uvc_6W_2s,UVC 6W 2s,2025-06-11,817,8,l3_reached,16.799999999999997,115.2,21.0
uvc_6W_2s,UVC 6W 2s,2025-06-11,820,9,l3_reached,22.0,152.0,12.0
uvc_6W_2s,UVC 6W 2s,2025-06-11,823,10,l3_reached,18.7,131.6,20.0
uvc_6W_2s,UVC 6W 2s,2025-06-11,826,11,l3_reached,19.099999999999994,128.2,34.0
uvc_6W_2s,UVC 6W 2s,2025-06-11,829,12,l3_reached,18.1,133.4,21.599999999999994
uvc_6W_2s,UVC 6W 2s,2025-06-12,797,1,l3_reached,15.7,135.0,25.0
uvc_6W_2s,UVC 6W 2s,2025-06-12,800,2,l3_reached,15.599999999999998,125.2,23.0
uvc_6W_2s,UVC 6W 2s,2025-06-12,803,3,l3_reached,17.0,133.8,33.0
uvc_6W_2s,UVC 6W 2s,2025-06-12,806,4,l3_reached,14.0,127.0,17.0
uvc_6W_2s,UVC 6W 2s,2025-06-12,809,5,l3_reached,18.0,118.0,19.0
uvc_6W_2s,UVC 6W 2s,2025-06-12,815,7,l3_reached,14.2,126.5,17.0
uvc_6W_2s,UVC 6W 2s,2025-06-12,821,9,l3_reached,15.700000000000003,124.0,18.0
uvc_6W_2s,UVC 6W 2s,2025-06-12,824,10,l3_reached,13.5,111.9,25.5
