epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
69,42572.9,0.47311,0.29944,0.85159,0.87948,0.85998,0.92446,0.84053,0.46984,0.29068,0.83929,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,43185,0.47133,0.30279,0.85069,0.88014,0.8607,0.92397,0.84034,0.46975,0.29053,0.83922,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,43830.8,0.47147,0.2939,0.85074,0.87917,0.86061,0.92378,0.83976,0.46968,0.29037,0.83914,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,44436.3,0.47149,0.30064,0.85047,0.85305,0.88894,0.9237,0.83923,0.46939,0.29024,0.83914,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,45040.9,0.46931,0.296,0.85106,0.85213,0.88855,0.92371,0.83982,0.46904,0.29069,0.83911,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,45648.6,0.47191,0.29847,0.85006,0.8528,0.88713,0.92432,0.84016,0.46859,0.29093,0.83903,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,46253.6,0.46715,0.29656,0.85078,0.87672,0.8637,0.9244,0.84015,0.4684,0.29046,0.83899,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,46855.9,0.46665,0.29133,0.85063,0.86939,0.86804,0.92395,0.84011,0.46817,0.29073,0.83897,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,47458.7,0.46947,0.28994,0.85027,0.86666,0.87206,0.92389,0.83897,0.46818,0.2912,0.83899,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,48062.1,0.46472,0.28705,0.84779,0.86916,0.8679,0.92319,0.83851,0.46831,0.29131,0.83897,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,48666.4,0.46758,0.28948,0.8495,0.86831,0.86828,0.92261,0.83809,0.46815,0.29183,0.83894,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,49272.7,0.46084,0.28502,0.84861,0.87518,0.86213,0.92225,0.83773,0.46813,0.29154,0.83899,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,49875.4,0.46268,0.2827,0.84958,0.87589,0.86073,0.92235,0.83778,0.46813,0.29173,0.83903,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
